epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4548.71,0.57239,0.45178,1.10777,0.96512,0.98168,0.97916,0.83714,0.59474,0.41269,1.12372,0.000387678,0.000387678,0.000387678
56,4631.59,0.57066,0.46226,1.10802,0.9728,0.97662,0.98012,0.84021,0.58548,0.40586,1.09088,0.000379431,0.000379431,0.000379431
57,4714.69,0.56164,0.45178,1.10497,0.97433,0.97592,0.97761,0.84145,0.58798,0.39869,1.09753,0.000371185,0.000371185,0.000371185
58,4797.94,0.56432,0.44649,1.10499,0.97043,0.98079,0.97908,0.84107,0.58275,0.39795,1.08636,0.000362938,0.000362938,0.000362938
59,4880.85,0.56101,0.44989,1.10337,0.9726,0.98052,0.97969,0.84489,0.57338,0.39651,1.0809,0.000354691,0.000354691,0.000354691
60,4964.48,0.56161,0.44782,1.10393,0.96758,0.98097,0.97981,0.84529,0.58687,0.39823,1.09059,0.000346445,0.000346445,0.000346445
61,5047.84,0.55725,0.44388,1.10101,0.9673,0.97901,0.98091,0.84221,0.58541,0.39581,1.09381,0.000338198,0.000338198,0.000338198
62,5130.73,0.5529,0.43777,1.0991,0.96765,0.98025,0.98055,0.84687,0.58616,0.41163,1.09807,0.000329951,0.000329951,0.000329951
63,5214.13,0.54347,0.43629,1.09069,0.97458,0.97582,0.98182,0.84885,0.57906,0.3946,1.08743,0.000321705,0.000321705,0.000321705
64,5297.95,0.54692,0.44225,1.0919,0.96819,0.98004,0.98052,0.84165,0.57641,0.39623,1.08227,0.000313458,0.000313458,0.000313458
65,5381.25,0.53778,0.43116,1.08365,0.97378,0.97461,0.98098,0.84745,0.58268,0.39352,1.08307,0.000305211,0.000305211,0.000305211
66,5464.17,0.5388,0.42467,1.09361,0.97408,0.97747,0.98136,0.85014,0.5728,0.38392,1.09748,0.000296964,0.000296964,0.000296964
67,5547.49,0.52707,0.42123,1.08337,0.97449,0.97431,0.98103,0.85334,0.56818,0.38179,1.08591,0.000288718,0.000288718,0.000288718
68,5630.66,0.52803,0.42409,1.08258,0.97372,0.97662,0.98208,0.84855,0.5675,0.38307,1.07046,0.000280471,0.000280471,0.000280471
69,5713.67,0.52942,0.42514,1.08345,0.96939,0.98141,0.98145,0.85043,0.5721,0.38694,1.07901,0.000272224,0.000272224,0.000272224
70,5796.36,0.52017,0.42527,1.08,0.97149,0.98144,0.98173,0.8553,0.55642,0.38105,1.06936,0.000263978,0.000263978,0.000263978
71,5879.5,0.50897,0.41588,1.07105,0.96772,0.97945,0.97904,0.85289,0.5584,0.38772,1.06777,0.000255731,0.000255731,0.000255731
72,5962.35,0.51178,0.41783,1.07391,0.97099,0.98088,0.98104,0.84929,0.56753,0.38194,1.07841,0.000247484,0.000247484,0.000247484
73,6045.16,0.51633,0.40224,1.07404,0.96462,0.98412,0.98059,0.8518,0.56928,0.37625,1.08605,0.000239238,0.000239238,0.000239238
74,6128.29,0.50598,0.41466,1.06616,0.97009,0.97848,0.98037,0.85134,0.57034,0.38034,1.08757,0.000230991,0.000230991,0.000230991
